date,close,volume,count,capital
2011-12-16,89.39,178878000,77098,5478247000
2011-12-19,86.21,248505000,101645,6836493000
2011-12-20,86.75,202377000,91828,6343865000
2011-12-21,90.9,267714000,112040,8931875000
2011-12-22,91.11,249319000,106635,7975700000
2011-12-23,93.96,366819000,158346,12448399000
2011-12-26,94.46,263364000,118283,9703795000
2011-12-27,94.15,277322000,125801,9383378000
2011-12-28,93.62,275302000,122071,8444861000
2011-12-29,93.95,233775000,108456,7415122000
2011-12-30,93.89,264636000,110782,7865902000
2012-01-02,92.05,183995000,83472,5928434000
2012-01-03,93.13,207402000,91872,6768947000
2012-01-04,93.81,276070000,125763,9856668000
2012-01-05,94.39,261489000,114296,8190242000
2012-01-06,94.51,320028000,143602,11149224000
2012-01-09,93.5,267232000,116616,8812883000
2012-01-10,93.71,299201000,131439,9316950000
2012-01-11,94.4,341240000,144704,11053048000
2012-01-12,93.98,332156000,140497,11026352000
2012-01-13,93.4,333330000,140407,11598203000
2012-01-16,94.0,256994000,108321,8451444000
2012-01-17,96.99,409981000,168133,15353469000
2012-01-18,97.85,462127000,184136,16861966000
2012-01-30,100.94,432061000,168403,15557384000
2012-01-31,103.63,571419000,233614,21800429000
2012-02-01,106.2,608919000,249051,23111547000
2012-02-02,108.57,678819000,275756,25767195000
2012-02-03,110.01,607055000,248008,22189028000
2012-02-04,111.15,640693000,249570,22961647000
2012-02-06,110.65,545392000,220050,20402528000
2012-02-07,110.82,468730000,195973,17475140000
2012-02-08,113.74,622744000,253664,24918745000
2012-02-09,115.45,729163000,296754,28375125000
2012-02-10,115.45,707504000,282101,26103854000
2012-02-13,116.46,618080000,253799,23496070000
2012-02-14,115.97,611199000,250158,23102213000
2012-02-15,117.63,641579000,266307,25230897000
2012-02-16,114.38,768566000,318610,29316880000
2012-02-17,114.08,607639000,253374,24402032000
2012-02-20,116.16,426001000,188890,17724445000
2012-02-21,116.48,504263000,222052,21052381000
2012-02-22,117.93,584995000,250282,24009298000
2012-02-23,117.28,517433000,219986,21444225000
2012-02-24,116.49,490466000,212662,19049654000
2012-02-29,117.47,463510000,196801,18575355000
2012-03-01,118.29,474078000,200819,19286829000
2012-03-02,120.24,601194000,251476,25135754000
2012-03-03,120.47,511940000,219722,20457636000
2012-03-05,118.51,532078000,221272,20286695000
2012-03-06,115.68,526374000,224737,20559966000
2012-03-07,115.78,396614000,180797,17164399000
2012-03-08,117.09,397491000,176931,17015434000
2012-03-09,118.99,480192000,207509,20135967000
2012-03-12,117.56,514162000,213010,18746990000
2012-03-13,117.35,409546000,176277,14983763000
2012-03-14,118.75,449359000,195484,18139926000
2012-03-15,119.14,420650000,182698,16578585000
