date,open,high,low,close
2018-04-26,149.06,150.61,145.91,145.93
2018-04-27,146.21,147.93,146.13,147.47
2018-04-30,147.77,148.96,147.77,148.77
2018-05-02,148.81,150.09,148.81,149.86
2018-05-03,149.93,150.82,148.95,148.95
2018-05-04,149.12,149.69,147.4,147.83
2018-05-07,148.07,149.03,147.89,148.66
2018-05-08,148.75,149.81,148.71,149.0
2018-05-09,148.95,150.0,148.95,149.17
2018-05-10,149.37,150.78,149.37,150.73
2018-05-11,150.86,152.11,150.85,150.9
2018-05-14,151.16,153.57,151.16,153.49
2018-05-15,153.44,154.21,152.45,152.57
2018-05-16,152.51,154.77,152.5,152.66
2018-05-17,152.81,154.1,151.88,151.93
2018-05-18,152.01,152.87,151.64,152.03
2018-05-21,152.24,153.39,152.24,153.12
2018-05-22,153.35,154.05,152.37,152.63
2018-05-23,152.69,153.35,151.74,152.41
2018-05-24,152.61,153.55,152.57,153.51
2018-05-25,153.52,154.84,153.51,154.23
2018-05-28,154.44,155.63,154.44,155.3
2018-05-29,155.37,156.3,154.94,155.18
2018-05-30,154.88,155.53,154.17,155.28
2018-05-31,155.48,157.27,155.29,155.98
2018-06-01,156.08,157.12,155.95,156.53
2018-06-04,156.81,158.33,156.81,158.04
2018-06-05,158.26,158.93,156.36,157.36
2018-06-06,157.46,159.07,157.46,159.07
2018-06-07,159.2,160.41,158.84,158.84
2018-06-08,158.52,158.8,157.24,157.75
2018-06-11,157.64,158.8,157.59,158.47
2018-06-12,158.61,160.21,158.61,158.99
2018-06-13,159.21,160.27,157.87,157.87
2018-06-14,157.72,158.41,157.36,157.58
2018-06-15,157.66,158.33,157.42,157.55
2018-06-19,157.3,157.3,154.93,154.93
2018-06-20,154.98,155.61,151.79,153.62
2018-06-21,153.68,155.78,153.68,155.57
2018-06-22,155.46,155.46,153.48,154.07
2018-06-25,154.02,154.9,153.57,153.74
2018-06-26,153.51,153.88,152.14,153.56
2018-06-27,153.47,154.79,153.47,153.81
2018-06-28,153.55,153.93,152.1,152.12
2018-06-29,152.18,153.53,152.18,153.53
2018-07-02,153.56,154.55,152.96,152.96
2018-07-03,152.74,153.78,150.34,150.76
2018-07-04,150.62,150.96,148.45,149.26
2018-07-05,149.07,149.62,146.39,146.54
2018-07-06,146.45,147.83,144.35,146.98
2018-07-09,146.99,148.38,146.96,147.94
2018-07-10,147.98,149.56,147.98,149.56
2018-07-11,149.28,149.45,148.09,148.78
2018-07-12,148.54,150.16,148.54,150.16
2018-07-13,150.42,152.26,150.42,151.81
2018-07-16,151.88,153.11,151.88,152.46
2018-07-17,152.18,153.08,151.21,151.26
2018-07-18,151.36,152.37,149.94,150.58
2018-07-19,150.63,151.5,150.61,151.13
2018-07-20,151.29,152.34,149.73,150.05
2018-07-23,149.65,149.87,147.27,148.02
2018-07-24,147.78,149.96,147.78,149.96
2018-07-25,149.68,150.6,149.63,150.48
2018-07-26,150.32,151.81,150.32,151.46
2018-07-27,151.34,152.12,151.34,152.12
2018-07-30,152.09,152.22,149.84,150.09
2018-07-31,150.06,151.04,149.76,150.61
2018-08-01,150.66,151.53,150.66,151.27
2018-08-02,151.19,151.39,148.79,148.95
2018-08-03,149.13,150.79,149.13,150.79
2018-08-06,150.91,151.83,150.77,151.4
2018-08-07,151.56,152.15,151.48,151.86
2018-08-08,151.96,152.47,150.53,150.72
2018-08-09,150.59,150.74,149.23,149.45
2018-08-10,149.44,150.14,148.54,148.54
2018-08-13,148.17,148.17,141.18,142.7
2018-08-14,142.79,144.78,142.42,144.78
2018-08-15,144.78,144.86,142.35,142.46
2018-08-16,142.15,142.53,140.1,142.19
2018-08-17,142.32,143.52,141.6,141.6
2018-08-20,141.71,142.06,139.13,139.71
2018-08-21,139.72,141.77,139.72,141.77
2018-08-22,141.76,142.16,141.15,141.23
2018-08-23,141.13,141.69,140.67,141.0
2018-08-24,140.9,140.9,139.08,139.44
2018-08-27,139.42,141.76,139.42,141.76
2018-08-28,141.81,142.8,141.81,141.99
2018-08-29,142.03,142.64,142.03,142.46
2018-08-30,142.45,143.48,142.45,143.03
2018-08-31,143.04,143.53,142.56,143.53
2018-09-03,143.58,143.72,140.55,140.57
